                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.4617,                 0.8469,                  1.578,                0.91753,                0.88318,                0.92337,                0.47944,                 1.5678,                0.77062,                 1.6467,              0.0082428,              0.0082428,              0.0082428
                     74,                 1.4413,                0.84931,                 1.5856,                0.90624,                0.86769,                0.90531,                0.46793,                 1.5716,                0.80318,                 1.6473,               0.008218,               0.008218,               0.008218
                     75,                 1.4456,                0.85604,                 1.5685,                0.89912,                0.86001,                0.91406,                0.46778,                 1.5907,                0.77955,                 1.6454,              0.0081932,              0.0081932,              0.0081932
                     76,                 1.4475,                0.84897,                 1.5591,                0.90343,                0.88775,                 0.9222,                0.48269,                 1.5725,                0.75801,                 1.6519,              0.0081685,              0.0081685,              0.0081685
                     77,                 1.4356,                0.83735,                 1.5675,                0.90287,                0.86886,                 0.9222,                0.47917,                 1.5911,                0.76508,                 1.6616,              0.0081437,              0.0081437,              0.0081437
                     78,                 1.4344,                0.82803,                 1.5598,                0.90642,                0.88463,                0.91316,                 0.4558,                  1.635,                0.75302,                   1.69,               0.008119,               0.008119,               0.008119
                     79,                 1.4306,                0.83971,                 1.5713,                0.90943,                0.86143,                0.91213,                0.46805,                 1.6045,                0.78955,                 1.6608,              0.0080942,              0.0080942,              0.0080942
                     80,                 1.4318,                0.83198,                 1.5593,                0.91165,                0.88962,                0.92244,                0.47736,                 1.5829,                0.76954,                 1.6437,              0.0080695,              0.0080695,              0.0080695
                     81,                 1.4333,                0.82552,                 1.5552,                0.90873,                0.88391,                0.92323,                0.47846,                 1.5847,                0.74845,                 1.6466,              0.0080447,              0.0080447,              0.0080447
                     82,                 1.4142,                0.83052,                 1.5461,                0.90922,                0.87636,                0.91965,                 0.4777,                 1.5873,                0.73476,                 1.6401,                0.00802,                0.00802,                0.00802
                     83,                 1.4212,                0.81261,                  1.542,                0.89502,                0.83739,                0.89011,                0.45217,                 1.6391,                0.80809,                 1.6817,              0.0079953,              0.0079953,              0.0079953
                     84,                  1.434,                0.81683,                 1.5537,                0.91483,                0.88016,                0.92633,                0.49038,                 1.5702,                0.71672,                 1.6244,              0.0079705,              0.0079705,              0.0079705
                     85,                 1.4171,                0.81108,                 1.5594,                0.90873,                0.85403,                0.91285,                 0.4751,                 1.5926,                0.75455,                 1.6552,              0.0079457,              0.0079457,              0.0079457
                     86,                 1.4092,                0.81921,                 1.5522,                0.90536,                 0.8997,                0.92499,                0.47803,                  1.598,                0.73136,                 1.6592,               0.007921,               0.007921,               0.007921
                     87,                 1.4085,                0.80972,                 1.5375,                0.91464,                0.88135,                0.92483,                0.47893,                   1.59,                0.75148,                 1.6552,              0.0078963,              0.0078963,              0.0078963
                     88,                 1.4147,                0.80832,                 1.5421,                0.92865,                0.87025,                0.92292,                0.48332,                 1.5604,                0.73955,                 1.6224,              0.0078715,              0.0078715,              0.0078715
                     89,                  1.398,                0.80555,                 1.5371,                0.90854,                0.87537,                0.92137,                0.46923,                 1.5963,                0.74803,                 1.6617,              0.0078467,              0.0078467,              0.0078467
                     90,                  1.407,                0.81766,                 1.5401,                0.89538,                0.89122,                0.92157,                0.48055,                 1.5925,                0.74056,                 1.6453,               0.007822,               0.007822,               0.007822
                     91,                 1.3955,                0.80437,                 1.5361,                0.90613,                0.88263,                0.93016,                0.49098,                 1.5678,                0.72986,                 1.6315,              0.0077973,              0.0077973,              0.0077973
