                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                0.43162,                0.53256,                0.20322,                0.86784,                0.89965,                0.90767,                0.45838,                0.51761,                 0.5485,                0.29013,               0.007624,               0.007624,               0.007624
                     99,                0.44385,                0.53513,                0.20826,                0.86443,                0.90397,                0.90185,                0.45083,                 0.5181,                0.55434,                 0.2893,              0.0075993,              0.0075993,              0.0075993
                    100,                0.42956,                 0.5307,                0.20188,                0.86596,                0.90226,                0.90311,                0.45549,                0.51492,                0.57671,                0.28633,              0.0075745,              0.0075745,              0.0075745
                    101,                0.42185,                0.52947,                0.20349,                0.88036,                0.89799,                0.91466,                0.46412,                0.51165,                0.55589,                0.28496,              0.0075498,              0.0075498,              0.0075498
                    102,                 0.4328,                0.53936,                0.20532,                0.86963,                0.89287,                0.90293,                0.45577,                0.52417,                0.55288,                0.29083,               0.007525,               0.007525,               0.007525
                    103,                0.43039,                  0.546,                0.20422,                0.84692,                0.89493,                0.89325,                0.44276,                0.51518,                0.55966,                0.28547,              0.0075003,              0.0075003,              0.0075003
                    104,                0.43599,                0.53628,                 0.2069,                0.85041,                0.91037,                0.90178,                0.45748,                0.51171,                0.57796,                0.28262,              0.0074755,              0.0074755,              0.0074755
                    105,                0.42574,                0.51759,                 0.1998,                0.88024,                0.88147,                0.90671,                0.45218,                0.51477,                0.54007,                0.29057,              0.0074507,              0.0074507,              0.0074507
                    106,                 0.4348,                0.53682,                0.20902,                0.87083,                0.90349,                 0.9124,                 0.4754,                  0.491,                0.55184,                0.27087,               0.007426,               0.007426,               0.007426
                    107,                0.43191,                0.53108,                0.19964,                0.85591,                 0.8869,                0.89413,                0.45813,                0.51276,                0.56181,                0.28406,              0.0074013,              0.0074013,              0.0074013
                    108,                0.44145,                0.52088,                0.20581,                 0.8619,                0.90055,                0.89826,                 0.4521,                 0.4956,                0.57693,                0.27379,              0.0073765,              0.0073765,              0.0073765
                    109,                0.43343,                0.53163,                0.20405,                0.85434,                0.90013,                0.90084,                0.45762,                0.50457,                0.55404,                0.27712,              0.0073517,              0.0073517,              0.0073517
                    110,                0.42809,                0.51667,                0.20052,                0.85266,                0.89162,                0.88941,                0.43247,                0.52432,                0.57087,                0.29563,               0.007327,               0.007327,               0.007327
                    111,                0.43074,                0.52295,                0.20139,                 0.8679,                0.89169,                0.90157,                0.45241,                0.50156,                0.56515,                  0.276,              0.0073023,              0.0073023,              0.0073023
                    112,                0.43979,                0.52879,                 0.2024,                0.86598,                0.90269,                0.90584,                0.46068,                0.50604,                0.56844,                0.27845,              0.0072775,              0.0072775,              0.0072775
                    113,                0.44469,                0.53092,                0.20741,                0.86612,                0.88354,                0.89539,                0.44549,                0.52433,                0.55613,                0.29445,              0.0072527,              0.0072527,              0.0072527
                    114,                0.44608,                0.54011,                0.20985,                0.86782,                0.88818,                0.90298,                0.44872,                0.52327,                0.54322,                0.29227,               0.007228,               0.007228,               0.007228
                    115,                0.45044,                0.53177,                 0.2099,                0.84865,                0.90224,                0.90213,                0.45261,                0.51272,                 0.5794,                0.28334,              0.0072033,              0.0072033,              0.0072033
                    116,                0.44738,                 0.5396,                0.20465,                0.86085,                0.88306,                0.90162,                0.46024,                 0.5142,                0.55905,                0.28283,              0.0071785,              0.0071785,              0.0071785
                    117,                0.48104,                0.54444,                0.21981,                0.85492,                0.89074,                0.89557,                 0.4536,                0.51491,                0.55186,                0.27874,              0.0071538,              0.0071538,              0.0071538
                    118,                0.45282,                0.53833,                0.21151,                0.85015,                0.89885,                0.89382,                 0.4444,                 0.5187,                0.57268,                0.28726,               0.007129,               0.007129,               0.007129
                    119,                0.46868,                0.54581,                0.21832,                0.85407,                0.88676,                0.88215,                0.43187,                0.52143,                0.55705,                0.29349,              0.0071042,              0.0071042,              0.0071042
                    120,                0.44737,                 0.5239,                0.20175,                0.85448,                0.89972,                0.88842,                0.43911,                0.53322,                0.54571,                 0.2981,              0.0070795,              0.0070795,              0.0070795
                    121,                0.46398,                0.52793,                0.21087,                0.84417,                0.89799,                0.88912,                0.44309,                0.52802,                0.55119,                0.29487,              0.0070547,              0.0070547,              0.0070547
                    122,                0.46831,                0.53781,                0.21484,                0.85885,                0.90013,                0.89717,                0.44934,                0.52931,                0.54719,                0.29726,                0.00703,                0.00703,                0.00703
                    123,                0.51442,                0.53467,                0.22865,                0.83743,                0.90354,                 0.8865,                  0.441,                0.52852,                0.55761,                 0.2924,              0.0070053,              0.0070053,              0.0070053
                    124,                0.48263,                0.53341,                0.21578,                0.85163,                0.88775,                0.88669,                0.44099,                0.52145,                0.56585,                0.28796,              0.0069805,              0.0069805,              0.0069805
