                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.54988,                0.55718,                0.25344,                0.84716,                0.90135,                0.88013,                0.43553,                0.50103,                0.55293,                0.27028,              0.0084408,              0.0084408,              0.0084408
                     66,                0.56188,                  0.552,                0.25677,                0.82721,                0.87449,                0.85857,                0.43036,                 0.5186,                0.56006,                0.28386,               0.008416,               0.008416,               0.008416
                     67,                0.54661,                0.55633,                0.24795,                0.83907,                0.86086,                0.85535,                0.40389,                0.52797,                0.55993,                0.29043,              0.0083913,              0.0083913,              0.0083913
                     68,                0.53683,                0.55182,                0.24644,                0.81464,                0.86257,                0.84041,                0.39343,                0.53242,                0.56042,                0.29518,              0.0083665,              0.0083665,              0.0083665
                     69,                0.55427,                0.55157,                0.24728,                0.83924,                0.89117,                0.86837,                0.43672,                0.49695,                0.56648,                0.27332,              0.0083418,              0.0083418,              0.0083418
                     70,                0.52989,                0.54588,                0.24422,                0.85282,                0.90653,                0.90216,                0.46207,                0.49447,                0.54861,                0.27091,               0.008317,               0.008317,               0.008317
                     71,                0.54006,                0.54691,                0.24084,                0.84605,                0.89543,                0.87799,                 0.4413,                  0.506,                0.56409,                 0.2794,              0.0082922,              0.0082922,              0.0082922
                     72,                0.53574,                 0.5467,                0.24847,                0.83136,                0.90141,                 0.8723,                0.42419,                0.52342,                 0.5501,                0.28821,              0.0082675,              0.0082675,              0.0082675
                     73,                0.52998,                0.55829,                0.24507,                0.83822,                0.90225,                0.89169,                0.44743,                0.50916,                0.55173,                0.28404,              0.0082428,              0.0082428,              0.0082428
                     74,                0.51223,                0.54081,                0.23871,                0.86723,                0.87836,                0.89434,                0.43205,                0.51596,                0.52723,                0.29014,               0.008218,               0.008218,               0.008218
                     75,                0.53604,                0.55129,                 0.2483,                 0.8439,                0.88833,                0.88418,                0.44375,                0.51198,                0.55342,                0.27786,              0.0081932,              0.0081932,              0.0081932
                     76,                 0.5301,                0.55135,                0.24526,                0.83229,                 0.9002,                0.87948,                0.43832,                0.51744,                 0.5516,                0.28407,              0.0081685,              0.0081685,              0.0081685
                     77,                0.52691,                0.56201,                0.24633,                0.84909,                0.88988,                0.88262,                0.43201,                0.50448,                0.54114,                0.27918,              0.0081437,              0.0081437,              0.0081437
                     78,                0.53701,                0.54805,                0.24605,                0.85066,                0.89373,                0.89427,                0.44481,                0.51418,                0.54163,                0.28164,               0.008119,               0.008119,               0.008119
                     79,                 0.5265,                0.54801,                0.24795,                0.82674,                0.87574,                0.86132,                0.41137,                0.53419,                0.54833,                0.29663,              0.0080942,              0.0080942,              0.0080942
                     80,                0.52307,                0.54672,                 0.2386,                 0.8555,                0.89452,                0.88834,                0.45015,                0.50291,                0.53619,                0.27673,              0.0080695,              0.0080695,              0.0080695
                     81,                0.52015,                0.54734,                0.23487,                0.84861,                0.89954,                  0.888,                0.45619,                0.50841,                0.56026,                0.27697,              0.0080447,              0.0080447,              0.0080447
                     82,                0.53332,                0.56011,                0.25023,                0.83507,                0.87793,                0.86579,                0.41636,                0.52346,                0.55495,                0.28745,                0.00802,                0.00802,                0.00802
                     83,                0.51741,                0.55373,                0.23798,                0.85714,                0.89369,                 0.8841,                0.44823,                0.51011,                0.54639,                0.27797,              0.0079953,              0.0079953,              0.0079953
                     84,                0.50868,                0.56232,                0.23601,                0.84486,                0.88348,                0.87661,                0.43542,                 0.5203,                0.53618,                0.28725,              0.0079705,              0.0079705,              0.0079705
                     85,                 0.5099,                0.54455,                0.23334,                0.83725,                 0.8607,                0.86063,                0.43109,                  0.512,                0.54515,                0.28111,              0.0079457,              0.0079457,              0.0079457
                     86,                0.53124,                0.54017,                0.23817,                0.83884,                0.88391,                0.87466,                0.43321,                0.52848,                 0.5474,                0.29155,               0.007921,               0.007921,               0.007921
                     87,                0.51028,                0.54919,                0.23774,                0.83812,                0.87452,                0.87333,                0.44405,                 0.5105,                0.54518,                0.27739,              0.0078963,              0.0078963,              0.0078963
                     88,                0.53248,                0.55002,                0.23648,                0.84077,                0.85412,                0.85792,                0.42921,                0.51934,                0.54997,                0.28521,              0.0078715,              0.0078715,              0.0078715
                     89,                0.54192,                0.54313,                0.24082,                0.83163,                0.90994,                0.88027,                0.44363,                0.51184,                0.55074,                 0.2803,              0.0078467,              0.0078467,              0.0078467
                     90,                0.52684,                0.54596,                0.23355,                0.84226,                0.88732,                 0.8866,                0.44516,                0.50602,                0.55507,                0.27683,               0.007822,               0.007822,               0.007822
                     91,                0.50763,                0.54802,                0.23186,                 0.8359,                0.90055,                0.88087,                0.44477,                 0.5075,                0.55301,                0.28017,              0.0077973,              0.0077973,              0.0077973
                     92,                0.49968,                0.55171,                0.22904,                0.84438,                0.90547,                0.88571,                0.44618,                0.51607,                 0.5599,                0.28753,              0.0077725,              0.0077725,              0.0077725
                     93,                0.51286,                0.54432,                0.23416,                0.85404,                0.90156,                0.89602,                0.44638,                0.51421,                0.56063,                0.28439,              0.0077478,              0.0077478,              0.0077478
                     94,                0.50172,                0.55446,                0.23137,                0.86739,                 0.8794,                0.89448,                 0.4472,                0.52148,                0.54674,                0.29123,               0.007723,               0.007723,               0.007723
                     95,                0.50277,                0.55478,                0.23036,                0.86159,                0.90226,                0.88663,                0.44787,                0.51246,                0.55153,                0.28442,              0.0076983,              0.0076983,              0.0076983
                     96,                0.49881,                 0.5411,                0.22405,                 0.8534,                0.89117,                0.89056,                 0.4521,                0.51914,                0.53184,                0.28651,              0.0076735,              0.0076735,              0.0076735
                     97,                 0.5093,                0.53747,                0.22628,                0.85448,                0.89671,                0.88447,                 0.4399,                0.51325,                0.55326,                0.29025,              0.0076488,              0.0076488,              0.0076488
                     98,                0.51081,                0.54545,                0.22871,                0.83981,                0.89055,                0.87687,                0.42919,                0.52106,                0.55905,                 0.2873,               0.007624,               0.007624,               0.007624
                     99,                0.50112,                0.53528,                0.22588,                0.83756,                0.88464,                0.88547,                0.44537,                0.51657,                0.55391,                0.28472,              0.0075993,              0.0075993,              0.0075993
                    100,                0.48849,                0.54506,                0.21913,                0.84962,                0.88498,                0.89015,                0.44893,                0.51502,                0.56617,                 0.2876,              0.0075745,              0.0075745,              0.0075745
                    101,                0.50927,                0.54239,                 0.2288,                0.84273,                0.88562,                0.86657,                0.42666,                0.51661,                0.55086,                0.29049,              0.0075498,              0.0075498,              0.0075498
                    102,                0.49124,                 0.5512,                0.22219,                0.84986,                0.89757,                0.88507,                0.44978,                0.50992,                0.56136,                0.28488,               0.007525,               0.007525,               0.007525
                    103,                0.48085,                0.55347,                0.22175,                0.84351,                0.87068,                0.86093,                0.40798,                0.53852,                0.55226,                0.30678,              0.0075003,              0.0075003,              0.0075003
                    104,                0.50548,                0.54172,                0.22853,                0.85542,                0.89842,                 0.8843,                0.44253,                0.50746,                0.55258,                0.28226,              0.0074755,              0.0074755,              0.0074755
                    105,                0.50398,                0.52814,                0.22419,                0.84304,                0.89287,                0.87782,                 0.4418,                0.51701,                0.55727,                0.28805,              0.0074507,              0.0074507,              0.0074507
                    106,                0.49104,                0.54739,                0.22652,                0.84977,                0.90531,                0.89328,                0.46203,                 0.5023,                0.53848,                0.27647,               0.007426,               0.007426,               0.007426
                    107,                0.49092,                0.53891,                0.22047,                0.84968,                0.90709,                0.89427,                0.46948,                0.49436,                0.54877,                0.27331,              0.0074013,              0.0074013,              0.0074013
                    108,                0.48745,                0.53663,                0.21917,                0.84697,                0.89415,                0.88949,                0.45153,                0.50025,                0.55951,                0.27459,              0.0073765,              0.0073765,              0.0073765
                    109,                0.48879,                0.54624,                0.21781,                0.84717,                0.89159,                0.87681,                0.43524,                0.52127,                0.56857,                0.29501,              0.0073517,              0.0073517,              0.0073517
                    110,                0.51322,                0.53132,                0.22392,                0.83788,                 0.9061,                0.88879,                0.44331,                0.51772,                0.54371,                0.28992,               0.007327,               0.007327,               0.007327
                    111,                0.49527,                0.53571,                0.21814,                0.83432,                0.89714,                0.88054,                  0.443,                0.51669,                0.56704,                 0.2865,              0.0073023,              0.0073023,              0.0073023
                    112,                 0.4925,                 0.5316,                0.21858,                0.84335,                0.89629,                0.88065,                 0.4485,                0.51303,                0.56149,                 0.2835,              0.0072775,              0.0072775,              0.0072775
                    113,                0.47329,                0.52713,                0.21354,                0.83869,                0.89842,                0.88165,                0.44254,                0.50362,                0.56368,                0.27546,              0.0072527,              0.0072527,              0.0072527
                    114,                0.46456,                0.54242,                 0.2158,                0.83785,                0.91078,                0.89642,                0.45628,                0.51272,                0.54718,                 0.2837,               0.007228,               0.007228,               0.007228
                    115,                0.50345,                0.53677,                0.22761,                0.85111,                0.89543,                0.88174,                 0.4392,                0.51361,                0.55292,                0.28704,              0.0072033,              0.0072033,              0.0072033
                    116,                0.49971,                0.54521,                0.21889,                0.84259,                0.88476,                  0.879,                0.44647,                 0.5069,                0.56689,                0.28122,              0.0071785,              0.0071785,              0.0071785
                    117,                0.47588,                0.54563,                0.21615,                0.83322,                0.87751,                0.87391,                0.44097,                0.50721,                0.56545,                0.27927,              0.0071538,              0.0071538,              0.0071538
                    118,                0.46515,                0.55206,                0.21125,                0.85372,                 0.8992,                 0.8948,                0.45727,                0.50174,                0.56883,                0.27408,               0.007129,               0.007129,               0.007129
                    119,                0.48324,                0.54254,                0.22358,                0.84067,                0.91165,                0.89623,                0.45022,                0.51111,                0.55761,                0.28369,              0.0071042,              0.0071042,              0.0071042
                    120,                0.50029,                0.52938,                0.21579,                 0.8373,                 0.9044,                0.88545,                 0.4377,                0.52184,                0.56374,                0.29464,              0.0070795,              0.0070795,              0.0070795
